# ASSET=BTC-USD,NAME=bitcoin,LEV2=2x bitcoin,LEV3=3x bitcoin
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
2014-09-30,386.944,3.0567,0.0376,0.000103,6.1134,9.1702,6.1053,9.1566,84.60862,69.740874,55.910561,69.66433,55.806589
2014-10-01,383.615,-0.8603,0.0375,0.000103,-1.7207,-2.581,-1.7289,-2.5946,83.880704,68.540865,54.467509,68.459937,54.358645
2014-10-02,375.072,-2.227,0.0374,0.000102,-4.4539,-6.6809,-4.4621,-6.6945,82.012704,65.488093,50.82858,65.405166,50.71961
2014-10-03,359.512,-4.1485,0.0373,0.000102,-8.2971,-12.4456,-8.3053,-12.4592,78.610377,60.054499,44.502654,59.973099,44.400361
2014-10-04,328.866,-8.5243,0.0372,0.000102,-17.0487,-25.573,-17.0568,-25.5866,71.909367,49.816009,33.121992,49.743578,33.039831
2014-10-05,320.51,-2.5408,0.0372,0.000102,-5.0817,-7.6225,-5.0899,-7.6361,70.082259,47.28451,30.597253,47.211689,30.51687
2014-10-06,330.079,2.9856,0.0371,0.000102,5.9711,8.9567,5.9629,8.9431,72.174603,50.107919,33.337745,50.026887,33.246021
2014-10-07,336.187,1.8505,0.037,0.000101,3.7009,5.5514,3.6927,5.5378,73.51017,51.96238,35.188457,51.874254,35.087129
2014-10-08,352.94,4.9832,0.0369,0.000101,9.9665,14.9497,9.9583,14.9361,77.173355,57.141196,40.449028,57.040042,40.327789
2014-10-09,365.026,3.4244,0.0368,0.000101,6.8488,10.2731,6.8406,10.2596,79.816062,61.054656,44.60441,60.941907,44.465244
2014-10-10,361.562,-0.949,0.0367,0.000101,-1.8979,-2.8469,-1.9061,-2.8605,79.058631,59.895875,43.334562,59.780279,43.193323
2014-10-11,362.299,0.2038,0.0367,0.0001,0.4077,0.6115,0.3995,0.5979,79.219782,60.140056,43.599559,60.019097,43.451594
2014-10-12,378.549,4.4852,0.0366,0.0001,8.9705,13.4557,8.9623,13.4422,82.772984,65.534914,49.4662,65.398193,49.29243
2014-10-13,390.414,3.1343,0.0365,0.0001,6.2687,9.403,6.2605,9.3894,85.367366,69.64308,54.117508,69.492438,53.920709
2014-10-14,400.87,2.6782,0.0364,0.0001,5.3564,8.0345,5.3482,8.021,87.653658,73.373415,58.465603,73.209019,58.245675
2014-10-15,394.773,-1.5209,0.0363,0.0001,-3.0419,-4.5628,-3.0501,-4.5764,86.3205,71.141487,55.797926,70.976101,55.580129
