# ASSET=^GSPC,NAME=S&P500,LEV2=2x S&P500,LEV3=3x S&P500
Date,Asset_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
1928-04-04,18.99,-0.1577,11.39,0.045198,-0.3155,-0.4732,-0.3724,-0.583,107.531143,115.169453,122.858784,110.994627,114.417909
1928-04-05,19.23,1.2638,11.39,0.045198,2.5276,3.7915,2.4707,3.6817,108.890146,118.080527,127.516932,113.737015,118.630438
1928-04-09,19.27,0.208,11.39,0.045198,0.416,0.624,0.3591,0.5143,109.116651,118.571772,128.312688,114.145469,119.240527
1928-04-10,19.1,-0.8822,11.39,0.045198,-1.7644,-2.6466,-1.8213,-2.7564,108.154023,116.479691,124.916762,112.06653,115.953824
1928-04-11,19.44,1.7801,11.39,0.045198,3.5602,5.3403,3.5033,5.2306,110.079279,120.626613,131.587712,115.992564,122.018852
1928-04-12,19.41,-0.1543,11.39,0.045198,-0.3086,-0.463,-0.3656,-0.5727,109.9094,120.2543,130.978496,115.568549,121.320007
1928-04-13,19.73,1.6486,11.39,0.045198,3.2973,4.9459,3.2404,4.8361,111.721403,124.219405,137.456561,119.313388,127.187209
1928-04-16,19.68,-0.2534,11.39,0.045198,-0.5068,-0.7603,-0.5637,-0.87,111.438281,123.589818,136.411545,118.640771,126.080663
1928-04-17,19.52,-0.813,11.39,0.045198,-1.626,-2.439,-1.6829,-2.5488,110.53228,121.580229,133.084437,116.644142,122.867139
1928-04-18,19.52,0.0,11.39,0.045198,0.0,0.0,-0.0569,-0.1098,110.53228,121.580229,133.084437,116.577766,122.732278
1928-04-19,19.63,0.5635,11.39,0.045198,1.127,1.6906,1.0701,1.5808,111.155149,122.950482,135.334301,117.825301,124.67242
1928-04-20,19.34,-1.4773,11.39,0.045198,-2.9547,-4.432,-3.0116,-4.5417,109.513026,119.317724,129.336316,114.276926,119.010124
1928-04-23,19.15,-0.9824,11.39,0.045198,-1.9648,-2.9473,-2.0217,-3.057,108.437145,116.973316,125.524428,111.966533,115.371949
1928-04-24,19.25,0.5222,11.39,0.045198,1.0444,1.5666,0.9875,1.4568,109.003398,118.194974,127.490876,113.072186,117.052715
1928-04-25,19.33,0.4156,11.39,0.045198,0.8312,1.2468,0.7743,1.137,109.456399,119.177373,129.080371,113.947662,118.383593
1928-04-26,19.47,0.7243,11.39,0.045198,1.4485,2.1728,1.3916,2.063,110.249148,120.90368,131.885002,115.533375,120.825867
1928-04-27,19.68,1.0786,11.39,0.045198,2.1572,3.2358,2.1003,3.126,111.438281,123.511784,136.152488,117.959888,124.602885
1928-04-30,19.75,0.3557,11.39,0.045198,0.7114,1.0671,0.6545,0.9573,111.834656,124.390421,137.605328,118.731905,125.795716
1928-05-01,19.78,0.1519,11.39,0.045198,0.3038,0.4557,0.2469,0.3459,112.004535,124.768324,138.232405,119.025054,126.2309
1928-05-02,19.83,0.2528,11.39,0.045198,0.5056,0.7583,0.4486,0.6486,112.287656,125.399095,139.280663,119.559058,127.049593
1928-05-03,19.93,0.5043,11.39,0.045198,1.0086,1.5129,0.9517,1.4031,112.85391,126.663841,141.387791,120.696868,128.83223
1928-05-04,20.24,1.5554,11.39,0.045198,3.1109,4.6663,3.054,4.5566,114.609286,130.604205,147.985404,124.382924,134.702551
1928-05-07,20.41,0.8399,11.39,0.045198,1.6798,2.5198,1.6229,2.41,115.571914,132.79815,151.714287,126.401581,137.948885
1928-05-08,20.27,-0.6859,11.39,0.045198,-1.3719,-2.0578,-1.4288,-2.1676,114.779166,130.976331,148.592301,124.595587,134.95875
1928-05-09,20.24,-0.148,11.39,0.045198,-0.296,-0.444,-0.3529,-0.5538,114.609286,130.588627,147.932528,124.15587,134.211378
1928-05-10,20.21,-0.1482,11.39,0.045198,-0.2964,-0.4447,-0.3534,-0.5544,114.439407,130.201498,147.27471,123.71716,133.467261
1928-05-11,20.36,0.7422,11.39,0.045198,1.4844,2.2266,1.4275,2.1169,115.288793,132.134246,150.553992,125.483252,136.292605
1928-05-14,20.44,0.3929,11.39,0.045198,0.7859,1.1788,0.7289,1.069,115.741793,133.172628,152.328694,126.397961,137.749599
1928-05-15,20.39,-0.2446,11.39,0.045198,-0.4892,-0.7339,-0.5462,-0.8436,115.458661,132.521084,151.210796,125.707635,136.587496
1928-05-16,20.05,-1.6675,11.39,0.045198,-3.335,-5.0025,-3.3919,-5.1122,113.533405,128.101546,143.646545,121.44379,129.604848
1928-05-17,20.12,0.3491,11.39,0.045198,0.6983,1.0474,0.6414,0.9376,113.929791,128.996041,145.151107,122.222688,130.82008
1928-05-18,19.92,-0.994,11.39,0.045198,-1.9881,-2.9821,-2.045,-3.0919,112.797283,126.431498,140.822529,119.723254,126.775279
1928-05-21,19.63,-1.4558,11.39,0.045198,-2.9117,-4.3675,-2.9686,-4.4772,111.155149,122.750248,134.672128,116.169197,121.099238
1928-05-22,19.36,-1.3754,11.39,0.045198,-2.7509,-4.1263,-2.8078,-4.2361,109.626278,119.37354,129.115131,112.90742,115.969381
1928-05-23,19.75,2.0145,11.39,0.045198,4.0289,6.0434,3.972,5.9336,111.834656,124.183003,136.918048,117.392119,122.85056
1928-05-24,19.87,0.6076,11.39,0.045198,1.2152,1.8228,1.1583,1.713,112.514162,125.692073,139.413786,118.751864,124.955034
1928-05-25,19.9,0.151,11.39,0.045198,0.302,0.4529,0.245,0.3432,112.684031,126.071601,140.045227,119.04286,125.383834
1928-05-28,19.57,-1.6583,11.39,0.045198,-3.3166,-4.9749,-3.3735,-5.0846,110.815401,121.890332,133.078155,115.026965,119.008524
1928-05-29,19.82,1.2775,11.39,0.045198,2.5549,3.8324,2.498,3.7226,112.23103,125.004546,138.178237,117.900369,123.438776
1928-05-31,20.0,0.9082,11.39,0.045198,1.8164,2.7245,1.7594,2.6148,113.250284,127.275067,141.942938,119.974762,126.666408
1928-06-01,20.07,0.35,11.39,0.045198,0.7,1.05,0.6431,0.9402,113.646658,128.165988,143.433333,120.74631,127.857368
1928-06-04,19.8,-1.3453,11.39,0.045198,-2.6906,-4.0359,-2.7475,-4.1456,112.117777,124.71757,137.644534,117.428814,122.556858
1928-06-05,19.85,0.2525,11.39,0.045198,0.5051,0.7576,0.4482,0.6478,112.400909,125.347471,138.687319,117.95508,123.35082
1928-06-06,19.66,-0.9572,11.39,0.045198,-1.9144,-2.8715,-1.9713,-2.9813,111.325028,122.947866,134.704851,115.62987,119.673354
1928-06-07,19.61,-0.2543,11.39,0.045198,-0.5086,-0.763,-0.5655,-0.8727,111.041907,122.322505,133.677108,114.975932,118.628939
1928-06-08,19.37,-1.2239,11.39,0.045198,-2.4477,-3.6716,-2.5046,-3.7814,109.682905,119.328382,128.76903,112.096207,114.143159
1928-06-11,18.68,-3.5622,11.39,0.045198,-7.1244,-10.6866,-7.1813,-10.7964,105.775767,110.826922,115.007951,104.046209,101.819808
1928-06-12,18.34,-1.8201,11.39,0.045198,-3.6403,-5.4604,-3.6972,-5.5701,103.850511,106.792535,108.728071,100.199451,96.148293
1928-06-13,18.89,2.9989,11.39,0.045198,5.9978,8.9967,5.9409,8.887,106.96489,113.197749,118.510027,106.152206,104.692947
1928-06-14,19.05,0.847,11.39,0.045198,1.694,2.541,1.6371,2.4313,107.870891,115.115338,121.521396,107.890036,107.238308
1928-06-15,18.74,-1.6273,11.39,0.045198,-3.2546,-4.8819,-3.3115,-4.9916,106.115515,111.368808,115.588865,104.317265,101.885354
1928-06-18,18.4,-1.8143,11.39,0.045198,-3.6286,-5.4429,-3.6855,-5.5527,104.190259,107.327675,109.297473,100.472644,96.227999
1928-06-19,18.34,-0.3261,11.39,0.045198,-0.6522,-0.9783,-0.7091,-1.088,103.850511,106.627719,108.228268,99.76022,95.181025
1928-06-20,18.57,1.2541,11.39,0.045198,2.5082,3.7623,2.4513,3.6525,105.152887,109.302127,112.300097,102.205611,98.657511
1928-06-21,18.56,-0.0539,11.39,0.045198,-0.1077,-0.1616,-0.1646,-0.2713,105.096261,109.184405,112.118672,102.037373,98.389837
1928-06-22,18.54,-0.1078,11.39,0.045198,-0.2155,-0.3233,-0.2724,-0.433,104.983019,108.949111,111.756245,101.759416,97.963795
1928-06-25,18.47,-0.3776,11.39,0.045198,-0.7551,-1.1327,-0.812,-1.2425,104.586633,108.126391,110.490369,100.933083,96.74662
1928-06-26,18.68,1.137,11.39,0.045198,2.274,3.411,2.2171,3.3012,105.775767,110.585152,114.259143,103.170834,99.940411
1928-06-27,18.86,0.9636,11.39,0.045198,1.9272,2.8908,1.8703,2.781,106.795021,112.716347,117.562143,105.100431,102.719789
1928-06-28,19.07,1.1135,11.39,0.045198,2.2269,3.3404,2.17,3.2306,107.984144,115.226456,121.489175,107.381132,106.038281
